Plazas;Establecimiento;Tipo;Direccion;Numero;CodigoPostal;Coordenada_X;Coordenada_Y;Altitud;Municipio;basura
120;CASA CARLOS;RESTAURANTE;LAS CARBONERAS, S/N. CTRA.  ;0;38294;2.855.377;-16.277;0;SANTA CRUZ DE TENERIFE;
42;CASA CHELO;PIZZERIA;GENERAL, 5 CTRA. (EDIF. LAS PALMERAS, L-5) ;0;38250;0;0;0;LA LAGUNA;
0;CASA CHELO;RESTAURANTE;GENERAL PUNTA HIDALGO (EDIF. LAS PALMERAS, L-5) CTRA.;0;38000;3.369.390.106.201.170;-1.174.035.415.649.410;0;LA LAGUNA;
88;CASA DE ASADOS TIERNOS;RESTAURANTE;FITANIA BEACH CLUB, L-1B (LAS AMERICAS) ;0;38660;0;0;0;ADEJE;
80;CASA DE COMIDA BRITANICA;RESTAURANTE;AVD. JUAN CARLOS I (C.C. BAHIA DE LOS CRISTIANOS, L-13/14);0;38650;45.794.654.846.191.400;8.526.862.144.470.210;0;ARONA;
92;CASA CIRA;RESTAURANTE;PLAYA SAN MARCOS, 12 ;0;38430;28.377.506.659.999.900;-1.671.744.752;0;ICOD DE LOS VINOS;
492;CASA CLUB;RESTAURANTE;GOLF DEL SUR URB. (CASA CLUB) ;0;38620;3.574.946.975.708.000;-1.206.966.781.616.210;0;SAN MIGUEL;
0;CASA DE DASHBY, LA;BAR;EDIF. PLAYA AZUL, LOCAL 4 (LAS AMERICAS) ;0;38660;0;0;0;ARONA;
0;CASA DE LA PRADERA, LA;BAR;CRUCE DE ADEJE ;0;38000;28.369.619.369.506.800;-1.678.019.905.090.330;0;ADEJE;
50;CASA DE OSCAR, LA;TASCA;C/. HERRADORES, 66;0;38201;2.848.860.308;-16.317.589.019.999.900;0;LA LAGUNA;
62;CASA DE LAS TAPAS, LA;RESTAURANTE;VALLE MENENDEZ, S/N.  ;0;38650;28.051.624;-16.716.833;0;ARONA;
20;CASA DEL BOCADILLO, LA;CAFETERIA;STARCO, L-404 C.C. ;0;38640;0;0;0;ARONA;
63;CASA DE CUBA;RESTAURANTE;GENERAL SANTA CRUZ-LAGUNA, 34 CTRA. (JUNTO GASOLINERA EL RAMONAL);0;38209;2.846.486.836;-1.628.267.998;0;SANTA CRUZ DE TENERIFE;
0;CASA DEL ASADO, LA;RESTAURANTE;EDIF. FONTANA, L-7 ;0;38640;45.794.654.846.191.400;8.526.862.144.470.210;0;ARONA;
115;CASA DEL CAMELLO, LA;RESTAURANTE;CTRA. AL PUERTITO, 1;0;38670;0;0;0;ADEJE;
73;CASA DE MI ABUELA, LA;RESTAURANTE;CTRA. AL MONTE DE LAS MERCEDES, 6 (LAS CANTERAS);0;38293;285.200.729;-16.295.735.609.999.900;0;LA LAGUNA;
0;CASA DEL CANARIO;BAR;REAL OROTAVA, 18, ALTO ;0;38000;26.574.310.302.734.300;-9.887.155.151.367.180;0;EL SAUZAL;
0;CASA DEL MAR;BAR;VIRGEN DEL CARMEN, 1  ;0;38430;0;0;0;ICOD DE LOS VINOS;
85;CASA DEL MAR;RESTAURANTE;DEL FERRY, S/N. AVDA. (MUELLE LOS CRISTIANOS) ;0;38640;0;0;0;ARONA;
44;CASA DEL PARAISO;RESTAURANTE;ANDALUCIA, BL. C-B EDIF.  ;0;38660;0;0;0;ADEJE;
85;CASA DEL POLLO;RESTAURANTE;TINERFE EL GRANDE, 2 ;0;38670;0;0;0;ADEJE;
0;CASA DEL POLLO, LA;TASCA;AGUSTIN HERRERA, 5 PASEO ;0;38683;0;0;0;SANTIAGO DEL TEIDE;
30;CASA DEL DRAGO, LA;BAR;PARQUE DEL DRAGO, 3 ;0;38430;2.836.554.201;-1.674.313.703;0;ICOD DE LOS VINOS;
94;CASA DEL PESCADO, LA;RESTAURANTE;HOTEL JARDIN CALETA, 9 ;0;38679;0;0;0;ADEJE;
60;CASA DEL PESCADO, LA;RESTAURANTE;C/ HIGUERAS DE BORRALLO, 13;13;38370;28.440.023.249.999.900;-1.646.124.048;0;LA MATANZA DE ACENTEJO;
0;CASA DEL VINO Y DEL QUESO CANARIO, LA;BAR;EL CANDIL, S/N ;0;38330;28.492.438;-16.373.015;0;LA LAGUNA;
50;CASA DELL OSTE (CASA DEL SR. OSTE);RESTAURANTE;CARRETERA PROVINCIAL, 133;0;38390;0;0;318;SANTA URSULA;
0;CASA DEL VINO CANARIO MALVASIA;BAR;PLAZA DE LA PILA, 4 ;0;38000;0;0;0;ICOD DE LOS VINOS;
82;CASA DEL VINO LA BARANDA;RESTAURANTE;CTRA. GENERAL C-820 (ENLACE AUTOPISTA EL SAUZAL, KM.21)  C/ SAN SIMON Nº 49;0;38360;0;0;0;EL SAUZAL;
126;CASA DOMINGO;RESTAURANTE;CTRA. SAN ANTONIO ;0;38000;28.439.069.747.924.800;-1.645.560.073.852.530;0;LA MATANZA DE ACENTEJO;
50;CASA DOMINGO;RESTAURANTE;EL CALVARIO, 62 ;0;38360;0;0;0;EL SAUZAL;
70;CASA DOMINGO;RESTAURANTE;MONTE LAS MERCEDES, 170 CTRA. ;0;38205;28.520.162;-16.295.668;0;LA LAGUNA;
0;CASA DON MIGUEL;BAR;PASEO MARITIMO (EL SOCORRO) ;0;38500;0;0;0;GÜIMAR;
44;CASA DOMINGO;RESTAURANTE;BAILADERO, 2 ;0;38130;2.855.027;-1.620.363;0;SANTA CRUZ DE TENERIFE;
32;CASA DULCE;RESTAURANTE;PLAYA PARAISO, 30 URB. ;0;38678;28.120.871;-1.676.732;0;ADEJE;
174;CASA EL FAROL;RESTAURANTE;SAN JUAN, 14 ;0;38400;4.339.429.658.000.000;-5.706.192.910.000.000;0;PUERTO DE LA CRUZ;
0;CASA ELIAS;BAR;PZA. SAN PEDRO, 1 ;0;38360;0;0;0;EL SAUZAL;
0;CASA DORA;BAR;AVDA. TINCER, 20A BAJO;0;38108;284.423.694;-1.630.310.536;0;SANTA CRUZ DE TENERIFE;
52;CASA DOÑA CANDELARIA;RESTAURANTE;REAL DE LA OROTAVA, 29 CMNO. ;0;38370;28.444.954;-16.445.302;0;LA MATANZA DE ACENTEJO;
200;CASA ELOY;RESTAURANTE;PUERTO DEPORTIVO RADAZUL ;0;38000;18.026.599.884.033.200;-6.685.679.626.464.840;0;EL ROSARIO;
50;CASA ELVIRA;RESTAURANTE;GENERAL ALCALA CTRA. ;0;38686;28.182.657;-16.765.485;0;GUIA DE ISORA;
42;CASA ENCANTADA, LA;TASCA;SAN BARTOLOME DE GENETO, 167 CMNO.;0;38296;0;0;0;LA LAGUNA;
32;CASA ENMA;RESTAURANTE;GENERAL, 60 CTRA. - CECILIA FUENTES, 2 ;0;38370;0;0;0;LA MATANZA DE ACENTEJO;
50;CASA ESTEBAN;RESTAURANTE;SANTO DOMINGO, 183 ;0;38380;0;0;0;LA VICTORIA DE ACENTEJO;
36;CASA ENRIQUE Y ARLETTE;RESTAURANTE;LA PIEDRA, S/N. ;0;38480;41.744.468.688.964.800;-12.397.113.037.109.300;0;BUENAVISTA DEL NORTE;
0;CASA EMILIO;BAR;C/. MARQUES DE BAJAMAR, 77 ESQ. NARCISO DE VERA;0;38320;28.472.144.200.000.000;-1.628.580.889;0;LA LAGUNA;
0;CASA EZEQUIEL;BAR;HOYA LA VIUDA, 17 ;0;38359;2.846.063.554;-16.422.253.850.000.000;0;EL SAUZAL;
60;CASA FERMIN;RESTAURANTE;GUMERSINDO SOSA, 2;0;38520;30.160.860.061.645.500;-10.468.328.857.421.800;0;CANDELARIA;
100;CASA FERNANDO;RESTAURANTE;REAL AGUA GARCIA, 81 CMNO. ;0;38355;0;0;0;TACORONTE;
31;CASA FLORO;RESTAURANTE;MARITIMA, 5 AVDA. (URB. LA CALETA) ;0;38450;2.837.924.271;-1.672.445.883;0;GARACHICO;
50;CASA FRAN;RESTAURANTE;CMNO. ACENTEJO, 60;0;38370;0;0;0;LA MATANZA DE ACENTEJO;
350;CASA FRANCISCO-LOS GARRAFONES;RESTAURANTE;C/ LOS LAURELES, 2 ;0;38380;0;0;0;LA VICTORIA DE ACENTEJO;
0;CASA FRANCISCO;RESTAURANTE;LA CAMELLA BAJA ;0;38627;28.084.736;-16.690.392;0;ARONA;
100;CASA GASPAR;RESTAURANTE;REPUBLICA VENEZUELA AVDA. (EDIF. EL GALEON);0;38010;0;0;0;GARACHICO;
54;CASA GENARO;RESTAURANTE;GUMERSINDO RODRIGUEZ SOSA, 4;0;38530;0;0;0;CANDELARIA;
90;CASA GONZALO;RESTAURANTE;PASEO GRACILIANO RUIZ RODRÍGUEZ, S/N. ;0;38530;0;0;0;CANDELARIA;
0;CASA GERMAN;RESTAURANTE;CTRA. ANTIGUA CORUJERA, 32;0;38399;284.149.627;-1.649.586.541;0;SANTA URSULA;
0;CASA GOYO;BAR-CAFETERIA;ACORAN, 4 ;0;38410;0;0;0;LOS REALEJOS;
96;CASA HIPOLITO;RESTAURANTE;ISMAEL DOMINGUEZ, 119 ;0;38350;0;0;0;TACORONTE;
36;CASA HERIBERTO;RESTAURANTE;PUERTO FRANCO, 43 ;0;38412;28.392.080.959.999.900;-1.658.611.536;0;LOS REALEJOS;
0;CASA GIULIANA;RESTAURANTE;C/ LOS MUROS, 14;14;38595;28.098.405;-16.593.726;0;GRANADILLA DE ABONA;
80;CASA HORACIO;RESTAURANTE;GENERAL VALLE JIMENEZ, 169 CTRA. ;0;38329;0;0;0;LA LAGUNA;
33;CASA ISIDORO;RESTAURANTE;ALZADOS GUANCHES, 65;0;38300;28.415.618.960.000.000;-1.649.259.746;0;LA OROTAVA;
70;CASA ISI;RESTAURANTE;GENERAL DEL NORTE,167 CTRA.;0;38380;0;0;0;LA VICTORIA DE ACENTEJO;
0;CASA JANIRA;BAR;CHASNA 13, AVDA. ;0;38600;2.811.913.347;-1.657.839.768;0;GRANADILLA DE ABONA;
0;CASA JESUS;BAR;LA HAULAGA, 5 (EL SOCORRO) ;0;38509;0;0;0;GÜIMAR;
102;CASA JOSE;RESTAURANTE;REAL, 167 ;0;38370;0;0;0;LA MATANZA DE ACENTEJO;
48;CASA JORGE;RESTAURANTE;C/ ERNESTO CHE GUEVARA, 8;0;38689;0;0;0;GUIA DE ISORA;
40;CASA JOSE;RESTAURANTE;GENERALISIMO, 163 AVDA. (EDIF. LAS CANDELAS);0;38530;30.160.860.061.645.500;-10.468.328.857.421.800;0;CANDELARIA;
0;CASA JOSE CAÑON;BAR;AFUR, 30 ;0;38130;0;0;0;SANTA CRUZ DE TENERIFE;
32;CASA JOSE MANUEL;RESTAURANTE;HIGUERAS BORRALLO, 5 ;0;38370;0;0;0;LA MATANZA DE ACENTEJO;
48;CASA JUAN;RESTAURANTE;SAN ANTONIO, 68 ;0;38530;46.006.999;-740.754.318;0;CANDELARIA;
40;CASA FAUSTINO;RESTAURANTE;DEBAJO EL ROQUE, 4-5 ;0;38130;27.703.305.780.000.000;-17.981.446.089.999.900;0;SANTA CRUZ DE TENERIFE;
72;CASA JUAN;RESTAURANTE;CMNO. ACENTEJO, 77;0;38370;0;0;0;LA MATANZA DE ACENTEJO;
37;CASA JUAN;BAR-CAFETERIA;AVDA. DE LA CONTITUCION Nº2, EDIF. ALEGRANZA;0;38670;0;0;0;ADEJE;
40;CASA JUAN;RESTAURANTE;GENERAL, 22 CTRA.;0;38380;0;0;0;LA VICTORIA DE ACENTEJO;
